target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
VOO,2016-10-04,2017-10-09,20,2.738834023475647,1.6645674854516983,3.5774174630641924,1.28821446015156,3.9298728380041816,2.6367530524730682,4.862394064664841,1.9529489421026547,1.0708749294281006,1.9376591976831614
GLD,2016-10-04,2017-10-09,20,4.755280613899231,2.8389576226472855,6.298901960253713,6.951211431581597,6.430758031395574,4.056452512741089,8.094162315130232,8.413903322634093,1.0401785373687744,-0.352228291879253
TLT,2016-10-04,2017-10-09,20,4.804728031158447,3.2226254940032955,6.270808652043342,7.904850024508016,6.4957659419936435,4.429596304893494,7.964819103479384,8.644497649926809,0.6552815437316895,1.9333841282401787
EW,2016-10-04,2017-10-09,20,2.3519378900527954,1.4509642869234085,3.4011617004871355,3.3689559106544564,3.359213564544916,2.0919838547706604,4.493174970149992,4.051426168929462,0.9480595588684082,1.1772348298235258
VOO,2016-11-02,2017-11-07,20,2.2809043526649475,1.2008630484342573,3.091089501976967,0.9680369798236921,3.449651823999981,2.1094919443130493,4.310726970434189,1.383729529129163,1.4658570289611816,1.7165449133200728
GLD,2016-11-02,2017-11-07,20,4.773917198181152,2.8877278864383698,6.03820638358593,6.672548787530966,6.301622267346829,3.985722303390503,7.987140148878096,8.383058518391662,0.7191717624664307,-0.9405159625931248
TLT,2016-11-02,2017-11-07,20,4.266516864299774,2.426384285092354,5.779783725738525,3.9454610424404124,5.873447866179049,3.836974680423737,7.444589465856552,6.3139161823421786,1.0937750339508057,1.0271350473646912
EW,2016-11-02,2017-11-07,20,2.0404496788978577,0.8957754224538802,2.8361205905675884,2.215352097967791,2.9855907312594354,1.7526362240314481,3.895378589630127,3.5171463213115643,1.1136889457702637,0.6160991947734118
VOO,2016-12-02,2017-12-07,20,2.3292002081871033,1.3359772115945816,3.072707593441008,0.9680369798236921,3.459511852512757,2.313809633255005,4.279806733131408,1.383729529129163,1.3721764087677002,4.292639669189713
GLD,2016-12-02,2017-12-07,20,4.173228740692139,2.3390574157238,5.414523541927337,4.20674004377612,5.647146480623633,3.5042155683040623,7.046235024929047,4.896028291259736,1.1900782585144043,5.7557598259604825
TLT,2016-12-02,2017-12-07,20,3.804002404212951,2.1052304953336716,4.887192055583,2.3668621133320333,5.238215303203711,3.419235974550247,6.578862100839615,3.1211930322875485,1.3793408870697021,-0.6190753479363931
EW,2016-12-02,2017-12-07,20,1.6819286346435547,0.66493321955204,2.36834767460823,1.3685280615703976,2.5643712608143687,1.2981539368629456,3.460016220808029,1.8015053215642718,1.3344109058380127,3.1258069825468526
VOO,2017-01-04,2018-01-09,20,2.262587249279022,1.0711667835712433,3.0592008829116817,0.9680369798236921,3.365449820800374,2.0276122987270355,4.178237736225126,1.383729529129163,1.5646040439605713,-2.524767189938093
GLD,2017-01-04,2018-01-09,20,3.819009363651275,2.062407612800598,5.132688745856285,4.20674004377612,5.303748642715314,3.443283319473266,6.473675340414045,4.896028291259736,1.5709996223449707,0.04810194578610538
TLT,2017-01-04,2018-01-09,20,4.127536416053772,2.3692703545093536,5.815356731414795,2.3668621133320333,5.649342092995843,3.5312165319919586,7.040974259376524,3.1211930322875485,1.162278652191162,-3.939149495696337
EW,2017-01-04,2018-01-09,20,1.5627279877662659,0.6983805298805236,2.4075046181678768,1.3685280615703976,2.435986010823399,1.3298397958278656,3.368565261363983,1.8015053215642718,1.439344882965088,-2.1012700981329346
VOO,2017-02-03,2018-02-08,20,2.2138017416000366,1.1721942871809004,3.247996285557746,1.1798058630519193,3.549928198723743,2.1500888764858246,4.895167410373688,2.166120752807077,1.6695380210876465,8.21825742730029
GLD,2017-02-03,2018-02-08,20,3.5713568329811096,1.9144950807094574,5.104217171669006,4.20674004377612,4.984440871824821,2.98965322971344,6.811502367258072,4.896028291259736,1.3337433338165283,0.44806972599802375
TLT,2017-02-03,2018-02-08,20,3.884540796279907,2.3537053912878036,5.524348586797714,3.219198404731733,5.367839483854672,3.4477324783802032,7.099353164434432,3.980763586063433,1.1157989501953125,-0.4568454465520122
EW,2017-02-03,2018-02-08,20,1.5251591801643372,0.6587105393409728,2.4157043844461437,1.6481900130247196,2.399172110017389,1.2877292931079865,3.3181442320346797,2.078583449189354,1.3810992240905762,2.703214823898148
VOO,2017-03-07,2018-03-12,20,2.827575206756592,1.3157658129930494,4.038289740681647,3.4082982318654897,4.857884459973624,2.8208204805850983,6.848105698823925,4.424692886295895,1.6499698162078857,-4.432086756321551
GLD,2017-03-07,2018-03-12,20,3.695603609085083,1.8422869890928266,5.085002690553665,4.20674004377612,5.091597112671783,3.2635681927204128,6.291323810815811,4.896028291259736,1.4663636684417725,1.2585644571707855
TLT,2017-03-07,2018-03-12,20,3.73929500579834,2.072440594434738,4.7648892998695365,4.015022689834209,5.123220609190563,3.286138355731964,6.179096817970276,4.695161481916288,1.2644410133361816,2.3178992124082365
EW,2017-03-07,2018-03-12,20,1.6147178411483765,0.5388353615999222,2.4280945062637316,2.505167705551683,2.567947768451025,1.3566861152648926,3.4315091073513018,3.151648329173149,1.4758527278900146,-0.2482713195007813
VOO,2017-04-05,2018-04-11,20,3.4886685013771053,1.8238492608070374,5.121070295572278,4.324144284592681,6.054437009152025,3.675693064928055,7.859892219305039,5.009664204768862,1.8447935581207275,2.1836744950782583
GLD,2017-04-05,2018-04-11,20,4.0588632225990295,2.4158432483673096,5.338394820690153,4.20674004377612,5.4911183193326,3.5540632009506226,6.832697242498398,4.896028291259736,1.0121047496795654,-2.9505883703753177
TLT,2017-04-05,2018-04-11,20,3.769891858100891,2.2291179895401,5.107240468263624,4.015022689834209,5.083654471673071,3.264295220375061,6.437838107347484,4.695161481916288,0.9893894195556641,-2.691062483082096
EW,2017-04-05,2018-04-11,20,1.7841109633445738,0.7868451476097105,2.497770741581916,2.505167705551683,2.773351878083001,1.5665986239910126,3.78779736161232,3.151648329173149,1.3077795505523682,-1.160529984973535
VOO,2017-05-05,2018-05-10,20,3.6500459909439087,1.8009920269250868,5.221443921327589,4.324144284592681,6.311640077425788,3.7618022561073303,8.22251898050308,5.009664204768862,2.0306169986724854,2.2852924793180796
GLD,2017-05-05,2018-05-10,20,3.827266097068786,2.0232417434453964,5.0459852516651145,3.434626005886982,5.181913004101565,3.3357550203800206,6.4073477387428275,4.758119230233811,1.1477291584014893,-1.7335022876298511
TLT,2017-05-05,2018-05-10,20,3.8966786861419673,2.4299804121255875,5.0938987731933585,4.015022689834209,5.18829655678322,3.6461606919765472,6.418840765953065,4.695161481916288,0.8030533790588379,0.7380088593133438
